date,ETVol_acft
8/4/2008,2820.125
8/5/2008,3294.569454
8/6/2008,4456.122232
8/7/2008,5998.3
8/8/2008,3334.722232
8/9/2008,4010.066667
8/10/2008,4512.522232
8/11/2008,4730.677768
8/12/2008,3584.477768
8/13/2008,4552.211121
8/14/2008,3957.411121
8/15/2008,4453.311101
8/16/2008,4741.566657
8/17/2008,4741.566657
8/18/2008,877.5
8/19/2008,406.4444343
8/20/2008,2516.593333
8/21/2008,4168.634167
8/22/2008,2396.123878
8/23/2008,5248.241956
8/24/2008,6682.212211
8/25/2008,5764.278322
8/26/2008,4063.623321
8/27/2008,3998.839167
8/28/2008,4018.391667
8/29/2008,3546.587234
8/30/2008,2702.101099
8/31/2008,1850.747917
9/1/2008,3461.585543
9/2/2008,3219.143068
9/3/2008,3223.646124
9/4/2008,2481.400012
9/5/2008,1369.040151
9/6/2008,3613.963901
9/7/2008,3614.769457
9/8/2008,3365.55
9/9/2008,3116.388876
9/10/2008,2493.27779
9/11/2008,3989.600012
9/12/2008,3615.816679
9/13/2008,3990.311124
9/14/2008,4115.191667
9/15/2008,1122.4
9/16/2008,1122.475
9/17/2008,0
9/18/2008,0
9/19/2008,0
9/20/2008,0
9/21/2008,0
9/22/2008,0
9/23/2008,0
9/24/2008,0
9/25/2008,0
9/26/2008,0
9/27/2008,0
9/28/2008,0
9/29/2008,0
9/30/2008,0
10/1/2008,0
10/2/2008,0
10/3/2008,0
10/4/2008,0
10/5/2008,0
10/6/2008,0
10/7/2008,0
10/8/2008,0
10/9/2008,0
10/10/2008,0
10/11/2008,0
10/12/2008,0
10/13/2008,0
10/14/2008,0
10/15/2008,0
10/16/2008,0
10/17/2008,0
10/18/2008,0
10/19/2008,0
10/20/2008,0
10/21/2008,0
10/22/2008,0
10/23/2008,0
10/24/2008,0
10/25/2008,0
10/26/2008,0
10/27/2008,0
10/28/2008,0
10/29/2008,0
10/30/2008,0
10/31/2008,0
11/1/2008,0
11/2/2008,0
11/3/2008,0
11/4/2008,0
11/5/2008,0
11/6/2008,0
11/7/2008,0
11/8/2008,0
11/9/2008,0
11/10/2008,0
11/11/2008,0
11/12/2008,0
11/13/2008,0
11/14/2008,0
