date,INDUST_cmd
9/24/2008,0
9/25/2008,0
9/26/2008,70950.57408
9/27/2008,24465.7152
9/28/2008,0
9/29/2008,0
9/30/2008,0
10/1/2008,0
10/2/2008,0
10/3/2008,13700.80051
10/4/2008,36698.5728
10/5/2008,34252.00128
10/6/2008,0
10/7/2008,0
10/8/2008,0
10/9/2008,34252.00128
10/10/2008,20795.85792
10/11/2008,0
10/12/2008,23487.08659
10/13/2008,0
10/14/2008,0
10/15/2008,0
10/16/2008,0
10/17/2008,19083.25786
10/18/2008,31805.42976
10/19/2008,17859.9721
10/20/2008,46484.85888
10/21/2008,5871.771648
10/22/2008,46484.85888
10/23/2008,21529.82938
10/24/2008,0
10/25/2008,0
10/26/2008,41591.71584
10/27/2008,10520.25754
10/28/2008,41591.71584
10/29/2008,4648.485888
10/30/2008,31805.42976
10/31/2008,26912.28672
11/1/2008,3425.200128
11/2/2008,44038.28736
11/3/2008,14434.77197
11/4/2008,18838.6007
11/5/2008,24221.05805
11/6/2008,17615.31494
11/7/2008,0
11/8/2008,0
11/9/2008,41591.71584
11/10/2008,17615.31494
11/11/2008,127221.719
11/12/2008,95416.28928
11/13/2008,95416.28928
11/14/2008,124775.1475
11/15/2008,110095.7184
11/16/2008,56271.14496
11/17/2008,247103.7235
11/18/2008,300928.297
11/19/2008,244657.152
11/20/2008,283802.2963
11/21/2008,210405.1507
11/22/2008,6850.400256
11/23/2008,26912.28672
11/24/2008,146794.2912
11/25/2008,249550.295
11/26/2008,396344.5862
11/27/2008,577390.8787
11/28/2008,464848.5888
11/29/2008,332733.7267
11/30/2008,149240.8627
12/1/2008,24465.7152
12/2/2008,56271.14496
12/3/2008,154134.0058
12/4/2008,232424.2944
12/5/2008,411024.0154
12/6/2008,362092.585
12/7/2008,322947.4406
12/8/2008,181046.2925
12/9/2008,207958.5792
12/10/2008,48931.4304
12/11/2008,0
12/12/2008,0
12/13/2008,0
12/14/2008,0
12/15/2008,0
12/16/2008,0
12/17/2008,44038.28736
12/18/2008,23976.4009
12/19/2008,9541.628928
12/20/2008,58717.71648
12/21/2008,41591.71584
12/22/2008,41591.71584
12/23/2008,20061.88646
12/24/2008,68504.00256
12/25/2008,44038.28736
12/26/2008,137008.0051
12/27/2008,137008.0051
12/28/2008,41591.71584
12/29/2008,183492.864
12/30/2008,137008.0051
12/31/2008,53824.57344
1/1/2009,24465.7152
1/2/2009,44038.28736
1/3/2009,102756.0038
1/4/2009,122328.576
1/5/2009,102756.0038
1/6/2009,22263.80083
1/7/2009,51378.00192
1/8/2009,188386.007
1/9/2009,274016.0102
1/10/2009,83183.43168
1/11/2009,20795.85792
1/12/2009,100309.4323
1/13/2009,95416.28928
1/14/2009,80736.86016
1/15/2009,178599.721
1/16/2009,185939.4355
1/17/2009,88076.57472
1/18/2009,19572.57216
1/19/2009,134561.4336
1/20/2009,242210.5805
1/21/2009,332733.7267
1/22/2009,249550.295
1/23/2009,122328.576
1/24/2009,68504.00256
1/25/2009,0
1/26/2009,66057.43104
1/27/2009,127221.719
1/28/2009,112542.2899
1/29/2009,141901.1482
1/30/2009,156580.5773
1/31/2009,122328.576
2/1/2009,24465.7152
2/2/2009,48931.4304
2/3/2009,61164.288
2/4/2009,229977.7229
2/5/2009,234870.8659
2/6/2009,134561.4336
2/7/2009,73397.1456
2/8/2009,39145.14432
2/9/2009,122328.576
2/10/2009,114988.8614
2/11/2009,129668.2906
2/12/2009,110095.7184
2/13/2009,83183.43168
2/14/2009,29358.85824
2/15/2009,34252.00128
2/16/2009,56271.14496
2/17/2009,0
2/18/2009,119882.0045
2/19/2009,119882.0045
2/20/2009,171260.0064
2/21/2009,68504.00256
2/22/2009,17859.9721
2/23/2009,85630.0032
2/24/2009,0
2/25/2009,0
2/26/2009,90523.14624
2/27/2009,978.628608
2/28/2009,31805.42976
3/1/2009,0
3/2/2009,129668.2906
3/3/2009,225084.5798
3/4/2009,132114.8621
3/5/2009,173706.5779
3/6/2009,176153.1494
3/7/2009,117435.433
3/8/2009,58717.71648
3/9/2009,31805.42976
3/10/2009,127221.719
3/11/2009,166366.8634
3/12/2009,430596.5875
3/13/2009,366985.728
3/14/2009,26912.28672
3/15/2009,39145.14432
3/16/2009,61164.288
3/17/2009,95416.28928
3/18/2009,85630.0032
3/19/2009,53824.57344
3/20/2009,0
3/21/2009,17615.31494
3/22/2009,39145.14432
3/23/2009,176153.1494
3/24/2009,313161.1546
3/25/2009,366985.728
3/26/2009,320500.8691
3/27/2009,327840.5837
3/28/2009,144347.7197
