,date,ShearStress
0,2008-01-01,14.525385153965098
1,2008-01-02,19.245436940564588
2,2008-01-03,19.831014590283342
3,2008-01-04,15.452347128045558
4,2008-01-05,13.196807910322232
5,2008-01-06,12.424888911248788
6,2008-01-07,12.333162192355054
7,2008-01-08,10.945908836174015
8,2008-01-09,8.895456826681798
9,2008-01-10,10.375335149087155
10,2008-01-11,11.570652104130081
11,2008-01-12,8.762276179167518
12,2008-01-13,10.780865192057924
13,2008-01-14,16.624273318444054
14,2008-01-15,16.819324466543065
15,2008-01-16,16.563230688388227
16,2008-01-17,14.880648278120994
17,2008-01-18,9.923571577112927
18,2008-01-19,13.614191003626209
19,2008-01-20,19.309163395349373
20,2008-01-21,17.294031438466874
21,2008-01-22,13.336556899540115
22,2008-01-23,5.410919933741619
23,2008-01-24,12.099614590998236
24,2008-01-25,17.3044489051443
25,2008-01-26,10.487133751258327
26,2008-01-27,16.431478131531144
27,2008-01-28,14.370400591619754
28,2008-01-29,13.000155027149045
29,2008-01-30,11.846976956171078
30,2008-01-31,11.839755383292982
31,2008-02-01,12.565452774621594
32,2008-02-02,11.887921989413272
33,2008-02-03,9.342603916058426
34,2008-02-04,11.130251219111305
35,2008-02-05,14.723334868350445
36,2008-02-06,15.728946093151848
37,2008-02-07,15.728722278202996
38,2008-02-08,12.969964400231781
39,2008-02-09,9.354515160982146
40,2008-02-10,17.832121012342576
41,2008-02-11,17.025725026881652
42,2008-02-12,15.8759911267079
43,2008-02-13,17.267963401959
44,2008-02-14,15.347863693042838
45,2008-02-15,13.482885760228742
46,2008-02-16,13.519585476965126
47,2008-02-17,14.793584647962916
48,2008-02-18,15.859962342381282
49,2008-02-19,16.159598351986617
50,2008-02-20,15.82563031269258
51,2008-02-21,14.673395878069499
52,2008-02-22,14.8475011702943
53,2008-02-23,15.992787559707338
54,2008-02-24,13.502107998159742
55,2008-02-25,12.155434973806688
56,2008-02-26,16.347097812225563
57,2008-02-27,18.06117118084721
58,2008-02-28,16.975598925998558
59,2008-02-29,15.756493771164628
60,2008-03-01,13.757681071715318
61,2008-03-02,14.837947700186414
62,2008-03-03,15.443559048356336
63,2008-03-04,15.113301046773389
64,2008-03-05,13.536687163846722
65,2008-03-06,12.844819036535519
66,2008-03-07,17.234300888019817
67,2008-03-08,18.960994163286244
68,2008-03-09,17.338393327001114
69,2008-03-10,15.620749999762788
70,2008-03-11,11.079538369233063
71,2008-03-12,15.145852834712244
72,2008-03-13,14.630318005232475
73,2008-03-14,12.140550109749652
74,2008-03-15,15.759709109853564
75,2008-03-16,15.154217302513885
76,2008-03-17,17.612989753889966
77,2008-03-18,17.78416179103115
78,2008-03-19,17.43252669285104
79,2008-03-20,17.576293112583237
80,2008-03-21,16.696535291040476
81,2008-03-22,11.771713624702056
82,2008-03-23,12.443512289958916
83,2008-03-24,17.01485663615306
84,2008-03-25,17.963478377728627
85,2008-03-26,14.95270611680374
86,2008-03-27,13.032391805070374
87,2008-03-28,12.681401761913037
88,2008-03-29,11.841319350558726
89,2008-03-30,13.301702334332294
90,2008-03-31,16.40050313064245
91,2008-04-01,15.177914709413887
92,2008-04-02,12.759559938512181
93,2008-04-03,15.842260417082088
94,2008-04-04,17.23644540063618
95,2008-04-05,17.053263995280133
96,2008-04-06,16.492098248375598
97,2008-04-07,15.09086752198441
98,2008-04-08,15.477711195382922
99,2008-04-09,16.486635376673465
100,2008-04-10,14.351770315730278
101,2008-04-11,14.381393720356058
102,2008-04-12,12.12747252909027
103,2008-04-13,14.752042479997709
104,2008-04-14,16.80611640636336
105,2008-04-15,17.719265566840438
106,2008-04-16,18.043502468524053
107,2008-04-17,16.039963124271786
108,2008-04-18,12.665003876110529
109,2008-04-19,12.504612141012428
110,2008-04-20,12.06477374923055
111,2008-04-21,13.53028007466422
112,2008-04-22,14.422664568633444
113,2008-04-23,15.556025631722104
114,2008-04-24,16.414092853371777
115,2008-04-25,15.610539387177297
116,2008-04-26,14.316384867866388
117,2008-04-27,15.006342757000557
118,2008-04-28,15.982817779938113
119,2008-04-29,15.021934273215656
120,2008-04-30,15.979904717060986
121,2008-05-01,16.59811896589219
122,2008-05-02,16.20650562213241
123,2008-05-03,14.038156289525542
124,2008-05-04,12.216472768577171
125,2008-05-05,13.190160384533954
126,2008-05-06,13.16914721313718
127,2008-05-07,13.864564980815722
128,2008-05-08,15.282799581451549
129,2008-05-09,16.024837380477727
130,2008-05-10,14.04431609156207
131,2008-05-11,16.942029989313284
132,2008-05-12,17.864953780420723
133,2008-05-13,15.784038009537383
134,2008-05-14,16.411997709322815
135,2008-05-15,15.87875194177939
136,2008-05-16,14.128029799078668
137,2008-05-17,15.389010060722182
138,2008-05-18,16.010379200903685
139,2008-05-19,15.824866324567079
140,2008-05-20,16.49532370806016
141,2008-05-21,17.1307165913573
142,2008-05-22,13.519598763938735
143,2008-05-23,13.174283288371198
144,2008-05-24,12.815298771497227
145,2008-05-25,17.444851935306666
146,2008-05-26,17.503856943054366
147,2008-05-27,16.278574537258535
148,2008-05-28,15.917609052540875
149,2008-05-29,14.934839677018573
150,2008-05-30,16.532006232693547
151,2008-05-31,14.854343907106436
152,2008-06-01,13.386415359313704
153,2008-06-02,12.96293519282544
154,2008-06-03,11.233668367117533
155,2008-06-04,13.869934542752056
156,2008-06-05,16.115304374456898
157,2008-06-06,16.4058795824976
158,2008-06-07,15.947740639217633
159,2008-06-08,15.233695567037408
160,2008-06-09,11.385720643487838
161,2008-06-10,11.392135080711473
162,2008-06-11,12.153099225643427
163,2008-06-12,13.824032123497998
