date,MIA,NNR,WPB,S2PMP,S3PMP
2008-01-01,274.99954744254603,423.99930204249665,0.0,0.0,0.0
2008-01-02,401.9993384432855,272.9995507502224,0.0,0.0,0.0
2008-01-03,176.99970871756602,51.999914409150236,0.0,0.0,0.0
2008-01-04,28.999952275759405,27.99995392142287,0.0,0.0,0.0
2008-01-05,30.999948984432468,45.999924291305746,0.0,0.0,0.0
2008-01-06,62.99989632320146,-33.99994404744206,0.0,0.0,0.0
2008-01-07,18.99996873239409,-149.99975315047968,0.0,0.0,0.0
2008-01-08,36.999939110451656,-75.99987492140167,0.0,0.0,0.0
2008-01-09,41.99993088213431,-179.9997037805756,0.0,0.0,0.0
2008-01-10,126.99979100073945,-69.99988480355718,0.0,0.0,0.0
2008-01-11,126.99979100073945,-74.99987657523984,0.0,0.0,0.0
2008-01-12,36.999939110451656,-8.099986669308432,0.0,0.0,0.0
2008-01-13,52.99991277983615,-32.99994569310552,0.0,0.0,0.0
2008-01-14,27.99995392142287,-110.99981732318027,0.0,0.0,0.0
2008-01-15,46.99992265381696,-39.99993417346124,0.0,0.0,0.0
2008-01-16,23.99996050407675,-37.99993746478818,0.0,0.0,0.0
2008-01-17,2.5999957212749814,58.999902914030024,0.0,0.0,0.0
2008-01-18,58.99990290585534,48.99991937066471,0.0,0.0,0.0
2008-01-19,20.999965441067154,-1.9999967086730623,0.0,0.0,0.0
2008-01-20,48.999919362490026,13.999976960711434,0.0,0.0,0.0
2008-01-21,70.99988315789372,-59.99990126019187,0.0,0.0,0.0
2008-01-22,39.99993417346124,23.99996050407675,0.0,0.0,0.0
2008-01-23,52.99991277983615,215.99964452851606,0.0,0.0,0.0
2008-01-24,42.99992923647084,-0.4199993086578493,0.0,0.0,0.0
2008-01-25,62.99989632320146,101.9998321259768,0.0,0.0,0.0
2008-01-26,16.99997202372103,9.99998354336531,0.0,0.0,0.0
2008-01-27,47.9999210081535,27.99995392142287,0.0,0.0,0.0
2008-01-28,40.99993252779778,152.99974822983864,0.0,0.0,0.0
2008-01-29,28.999952275759405,179.9997037805756,0.0,0.0,0.0
2008-01-30,47.9999210081535,75.99987492140167,0.0,0.0,0.0
2008-01-31,58.99990290585534,66.99988972419821,0.0,0.0,0.0
2008-02-01,38.999935819124715,32.99994569310552,0.0,0.0,0.0
2008-02-02,66.99988974054759,-26.99995556708634,0.0,0.0,0.0
2008-02-03,53.99991113417268,-43.99992759898206,0.0,0.0,0.0
2008-02-04,51.99991442549962,-140.9997679532762,0.0,0.0,0.0
2008-02-05,27.99995392142287,19.99996708673062,0.0,0.0,0.0
2008-02-06,3.1999947338768995,-60.99989960635371,0.0,0.0,0.0
2008-02-07,30.999948984432468,-85.99985846476699,0.0,0.0,0.0
2008-02-08,45.99992429948043,-98.99983708749129,0.0,0.0,0.0
2008-02-09,50.999916071163085,-5.199991440915023,0.0,0.0,0.0
2008-02-10,76.99987328391289,31.999947338768997,0.0,0.0,0.0
2008-02-11,99.99983543365312,-224.9996297257195,0.0,0.0,0.0
2008-02-12,33.99994404744206,-202.9996659466652,0.0,0.0,0.0
2008-02-13,62.99989632320146,-90.99985023644963,0.0,349.5,0.0
2008-02-14,51.99991442549962,-590.9990272820949,0.0,1085.1200000000003,0.0
2008-02-15,46.99992265381696,109.99981897701842,0.0,350.59999999999997,0.0
2008-02-16,38.999935819124715,241.99960173309114,0.0,0.0,0.0
2008-02-17,16.99997202372103,314.9994816160073,0.0,0.0,0.0
2008-02-18,49.99991771682656,-95.9998420081323,0.0,0.0,0.0
2008-02-19,57.99990455151881,-318.9994750415281,0.0,0.0,0.0
2008-02-20,50.999916071163085,-134.9997778354317,0.0,0.0,0.0
2008-02-21,49.99991771682656,44.9999259451439,0.0,0.0,0.0
2008-02-22,84.99986011860516,57.999904567868185,0.0,0.0,0.0
2008-02-23,69.99988480355718,-111.99981566934211,0.0,0.0,0.0
2008-02-24,60.9998996145284,-186.99969224458195,0.0,0.0,0.0
2008-02-25,45.99992429948043,34.99994240177859,0.0,0.0,0.0
2008-02-26,79.99986834692248,14.999975315047967,0.0,0.0,0.0
2008-02-27,37.99993746478818,264.99956389918077,0.0,0.0,0.0
2008-02-28,4.699992265381696,150.99975149664152,0.0,0.0,0.0
2008-02-29,90.99985024462433,102.9998305130121,0.0,0.0,0.0
2008-03-01,20.999965441067154,55.999907834671056,0.0,0.0,0.0
2008-03-02,42.99992923647084,23.99996050407675,0.0,0.0,0.0
2008-03-03,59.99990126019187,76.99987326756352,0.0,0.0,0.0
2008-03-04,39.99993417346124,-35.99994075611512,0.0,0.0,0.0
2008-03-05,41.99993088213431,102.9998305130121,0.0,0.0,0.0
2008-03-06,51.99991442549962,-16.99997202372103,0.0,0.0,0.0
2008-03-07,-1.4999975315047969,178.99970543441376,0.0,0.0,0.0
