date,SLTRIB_cmd,SLTRIB_cfs
2020-10-15,1224778.1686272,500.6091761644108
2020-10-16,868630.7524608,355.03941572364204
2020-10-17,1253623.246848,512.3991567620385
2020-10-18,1147637.7686016,469.07922805218004
2020-10-19,2814462.4794624,1150.3681068781154
2020-10-20,4065932.7433728,1661.8872650883377
2020-10-21,6077161.327104,2483.9459122542266
2020-10-22,5630368.4361216,2301.326212785289
2020-10-23,3962662.9595136,1619.6773345517927
2020-10-24,3074141.5805952,1256.5079322073948
2020-10-25,2408405.004288,984.3983800088813
2020-10-26,2164212.7008768,884.5885442625521
2020-10-27,714105.2952576,291.87951966374675
2020-10-28,25591.1380992,10.459982786360117
2020-10-29,22924.3751424,9.369984580133297
2020-10-30,519235.8736896,212.229650740842
2020-10-31,1185388.3671552,484.50920265959275
2020-11-01,3893155.8626304,1591.267381305092
2020-11-02,8219159.1585792,3359.4544714594026
2020-11-03,5929412.8730112,2423.5560116358433
2020-11-04,4556176.7445503995,1862.2669353302917
2020-11-05,3667851.0913536,1499.1775328542408
2020-11-06,4236923.6269056,1731.7771500729177
2020-11-07,4098790.1988864,1675.3172429870774
2020-11-08,5806032.2712576,2373.126094626652
2020-11-09,11439067.470336,4675.542305618168
2020-11-10,11918766.7482624,4871.611982952932
2020-11-11,11558680.3519488,4724.432225161681
2020-11-12,9994415.9192064,4085.063277349533
2020-11-13,7993756.5244416,3267.3246230743785
2020-11-14,6692425.132953599,2735.425498402777
2020-11-15,5588678.8574208,2284.286240827395
2020-11-16,5064256.252108799,2069.936593575359
2020-11-17,4300558.9521408,1757.787107269211
2020-11-18,3228691.5035135997,1319.6778282508333
2020-11-19,2076870.0976128,848.8886030127379
2020-11-20,1848042.2633472001,755.3587569316422
2020-11-21,1390264.26624,568.2490648517338
2020-11-22,1294383.1283712,529.0591293452852
2020-11-23,397934.85772800003,162.6497323328368
2020-11-24,846318.0201984001,345.9194307320929
2020-11-25,1010482.9691904,413.0193203080741
2020-11-26,1089972.0778752,445.509266840468
2020-11-27,1059096.3452928,432.88928760874103
2020-11-28,1057506.0738048,432.2392886784222
2020-11-29,778132.071936,318.04947659673377
2020-11-30,479699.2779264,196.06967733476367
2020-12-01,846807.3345024,346.1194304029602
2020-12-02,1360562.8879872002,556.1090848300884
2020-12-03,1019706.5438207999,416.7893141039228
2020-12-04,705468.8977920001,288.3495254729388
2020-12-05,467393.0231808,191.0396856124509
2020-12-06,636720.23808,260.24957171608224
2020-12-07,1726961.4388223998,705.8688383755272
2020-12-08,814170.0704256,332.7794523561109
2020-12-09,783441.1321344001,320.21947302564405
2020-12-10,167736.94341120002,68.55988717331259
2020-12-11,981026.2480896,400.97934012186226
2020-12-12,155430.6886656,63.529895450999824
