date,Data_S65E,TP_mg/m3
2/6/2017,0.0755,75.5
2/7/2017,0.077142857,77.14285714
2/8/2017,0.078785714,78.78571429
2/9/2017,0.080428571,80.42857143
2/10/2017,0.082071429,82.07142857
2/11/2017,0.083714286,83.71428571
2/12/2017,0.085357143,85.35714286
2/13/2017,0.087,87
2/14/2017,0.095714286,95.71428571
2/15/2017,0.104428571,104.4285714
2/16/2017,0.113142857,113.1428571
2/17/2017,0.121857143,121.8571429
2/18/2017,0.130571429,130.5714286
2/19/2017,0.139285714,139.2857143
2/20/2017,0.148,148
2/21/2017,0.149285714,149.2857143
2/22/2017,0.150571429,150.5714286
2/23/2017,0.151857143,151.8571429
2/24/2017,0.153142857,153.1428571
2/25/2017,0.154428571,154.4285714
2/26/2017,0.155714286,155.7142857
2/27/2017,0.157,157
2/28/2017,0.158285714,158.2857143
3/1/2017,0.159571429,159.5714286
3/2/2017,0.160857143,160.8571429
3/3/2017,0.162142857,162.1428571
3/4/2017,0.163428571,163.4285714
3/5/2017,0.164714286,164.7142857
3/6/2017,0.166,166
3/7/2017,0.160857143,160.8571429
3/8/2017,0.155714286,155.7142857
3/9/2017,0.150571429,150.5714286
3/10/2017,0.145428571,145.4285714
3/11/2017,0.140285714,140.2857143
3/12/2017,0.135142857,135.1428571
3/13/2017,0.13,130
3/14/2017,0.123857143,123.8571429
3/15/2017,0.117714286,117.7142857
3/16/2017,0.111571429,111.5714286
3/17/2017,0.105428571,105.4285714
3/18/2017,0.099285714,99.28571429
3/19/2017,0.093142857,93.14285714
3/20/2017,0.087,87
3/21/2017,0.089714286,89.71428571
3/22/2017,0.092428571,92.42857143
3/23/2017,0.095142857,95.14285714
3/24/2017,0.097857143,97.85714286
3/25/2017,0.100571429,100.5714286
3/26/2017,0.103285714,103.2857143
3/27/2017,0.106,106
3/28/2017,0.108714286,108.7142857
3/29/2017,0.111428571,111.4285714
3/30/2017,0.114142857,114.1428571
3/31/2017,0.116857143,116.8571429
4/1/2017,0.119571429,119.5714286
4/2/2017,0.122285714,122.2857143
4/3/2017,0.125,125
4/4/2017,0.127714286,127.7142857
4/5/2017,0.130428571,130.4285714
4/6/2017,0.133142857,133.1428571
4/7/2017,0.135857143,135.8571429
